nama_channel,judul_video,author,komentar,casefolding,stripping,normalisasi,tokenizing,stopword_removal,stemming,no_repeated,token_list,final_tokens
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@chubie7265,Mending jco donat nya,mending jco donat nya,mending jco donat nya,mending jco donat nya,"['mending', 'jco', 'donat', 'nya']","['mending', 'jco', 'donat', 'nya']","['mending', 'jco', 'donat', 'nya']","['mending', 'jco', 'donat', 'nya']","['mending', 'jco', 'donat', 'nya']","['mending', 'donat']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@Anna-fc4dj,bluder biasanya teksturnya tuh parpaduan roti dgn bolu.,bluder biasanya teksturnya tuh parpaduan roti dgn bolu.,bluder biasanya teksturnya tuh parpaduan roti dgn bolu.,bluder biasanya teksturnya tuh parpaduan roti dengan bolu.,"['bluder', 'biasanya', 'teksturnya', 'tuh', 'parpaduan', 'roti', 'dengan', 'bolu']","['bluder', 'teksturnya', 'tuh', 'parpaduan', 'roti', 'bolu']","['bluder', 'tekstur', 'tuh', 'parpaduan', 'roti', 'bolu']","['bluder', 'tekstur', 'tuh', 'parpaduan', 'roti', 'bolu']","['bluder', 'tekstur', 'tuh', 'parpaduan', 'roti', 'bolu']","['bluder', 'tekstur', 'parpaduan', 'roti', 'bolu']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@AbiDimas-c4i,Padet ya gais bukan keras.. tolong bedakan,padet ya gais bukan keras.. tolong bedakan,padet ya gais bukan keras.. tolong bedakan,padet ya gais bukan keras.. tolong bedakan,"['padet', 'ya', 'gais', 'bukan', 'keras', 'tolong', 'bedakan']","['padet', 'ya', 'gais', 'keras', 'tolong', 'bedakan']","['padet', 'ya', 'gais', 'keras', 'tolong', 'beda']","['padet', 'ya', 'gais', 'keras', 'tolong', 'beda']","['padet', 'ya', 'gais', 'keras', 'tolong', 'beda']","['padet', 'gais', 'keras', 'tolong', 'beda']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@HajiSusilowati,Kok minyak banyak sekali,kok minyak banyak sekali,kok minyak banyak sekali,nan minyak banyak sekali,"['nan', 'minyak', 'banyak', 'sekali']","['nan', 'minyak']","['nan', 'minyak']","['nan', 'minyak']","['nan', 'minyak']",['minyak']
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@bermimpilah_45,Kaka coba kalo makan pake plastic gloves biar tangan Kaka ga kotor kena minyak,kaka coba kalo makan pake plastic gloves biar tangan kaka ga kotor kena minyak,kaka coba kalo makan pake plastic gloves biar tangan kaka ga kotor kena minyak,kaka coba kalau makan pake plastic gloves biar tangan kaka tidak kotor kena minyak,"['kaka', 'coba', 'kalau', 'makan', 'pake', 'plastic', 'gloves', 'biar', 'tangan', 'kaka', 'tidak', 'kotor', 'kena', 'minyak']","['kaka', 'coba', 'makan', 'pake', 'plastic', 'gloves', 'biar', 'tangan', 'kaka', 'kotor', 'kena', 'minyak']","['kaka', 'coba', 'makan', 'pake', 'plastic', 'gloves', 'biar', 'tangan', 'kaka', 'kotor', 'kena', 'minyak']","['kaka', 'coba', 'makan', 'pake', 'plastic', 'gloves', 'biar', 'tangan', 'kaka', 'kotor', 'kena', 'minyak']","['kaka', 'coba', 'makan', 'pake', 'plastic', 'gloves', 'biar', 'tangan', 'kaka', 'kotor', 'kena', 'minyak']","['kaka', 'coba', 'makan', 'pake', 'plastic', 'gloves', 'biar', 'tangan', 'kaka', 'kotor', 'kena', 'minyak']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@ninabing3180,Aku malah pengen nyobain yang kue pepe itu kak.warnanya ijo cantik,aku malah pengen nyobain yang kue pepe itu kak.warnanya ijo cantik,aku malah pengen nyobain yang kue pepe itu kak.warnanya ijo cantik,aku malah pengen nyobain yang kue pepe itu kak.warnanya ijo cantik,"['aku', 'malah', 'pengen', 'nyobain', 'yang', 'kue', 'pepe', 'itu', 'kak', 'warnanya', 'ijo', 'cantik']","['pengen', 'nyobain', 'kue', 'pepe', 'kak', 'warnanya', 'ijo', 'cantik']","['ken', 'nyobain', 'kue', 'pepe', 'kak', 'warna', 'ijo', 'cantik']","['ken', 'nyobain', 'kue', 'pepe', 'kak', 'warna', 'ijo', 'cantik']","['ken', 'nyobain', 'kue', 'pepe', 'kak', 'warna', 'ijo', 'cantik']","['nyobain', 'pepe', 'warna', 'cantik']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@regitaanevii,"akuuuu, yg gatau Pinkan Mambo tiba tiba jualan donat viral wkwk","akuuuu, yg gatau pinkan mambo tiba tiba jualan donat viral wkwk","akuuuu, yg gatau pinkan mambo tiba tiba jualan donat viral wkwk","akuuuu, yang gatau pinkan mambo tiba tiba jualan donat viral wkwk","['akuuuu', 'yang', 'gatau', 'pinkan', 'mambo', 'tiba', 'tiba', 'jualan', 'donat', 'viral', 'wkwk']","['akuuuu', 'gatau', 'pinkan', 'mambo', 'jualan', 'donat', 'viral', 'wkwk']","['akuuuu', 'gatau', 'pin', 'mambo', 'jual', 'donat', 'viral', 'wkwk']","['aku', 'gatau', 'pin', 'mambo', 'jual', 'donat', 'viral', 'wkwk']","['aku', 'gatau', 'pin', 'mambo', 'jual', 'donat', 'viral', 'wkwk']","['gatau', 'mambo', 'jual', 'donat', 'viral', 'wkwk']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@bulankaseh4926,Donat2 ..,donat2 ..,donat2 ..,donat2 ..,['donat2'],['donat2'],['donat2'],['donat2'],['donat2'],['donat2']
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@SantiPradina-g8p,Cobain mie lidi gehel kak,cobain mie lidi gehel kak,cobain mie lidi gehel kak,cobain mie lidi gehel kak,"['cobain', 'mie', 'lidi', 'gehel', 'kak']","['cobain', 'mie', 'lidi', 'gehel', 'kak']","['cobain', 'mie', 'lidi', 'gehel', 'kak']","['cobain', 'mie', 'lidi', 'gehel', 'kak']","['cobain', 'mie', 'lidi', 'gehel', 'kak']","['cobain', 'lidi', 'gehel']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, EDISI JAKARTA VLOG!",@chamemong3725,"Klu aku sih jujur gak pngen beli,klu sudah tau bnyak yg riview jelek . Aku sangat menghargai uang,karna cari uang susah.jadi aku pastikan beli sesuatu yg pasti pasti aja. Enak dan kenyang buat ku.. tp kembali lagi itu menurut aku sih, klu yg lain Ok Ok aja sih ya gpp 🙏","klu aku sih jujur gak pngen beli,klu sudah tau bnyak yg riview jelek . aku sangat menghargai uang,karna cari uang susah.jadi aku pastikan beli sesuatu yg pasti pasti aja. enak dan kenyang buat ku.. tp kembali lagi itu menurut aku sih, klu yg lain ok ok aja sih ya gpp 🙏","klu aku sih jujur gak pngen beli,klu sudah tau bnyak yg riview jelek . aku sangat menghargai uang,karna cari uang susah.jadi aku pastikan beli sesuatu yg pasti pasti aja. enak dan kenyang buat ku.. tp kembali lagi itu menurut aku sih, klu yg lain ok ok aja sih ya gpp 🙏","kalau aku nan jujur tidak pngen beli,klu sudah tau bnyak yang riview jelek . aku sangat menghargai uang,karna cari uang susah.jadi aku pastikan beli sesuatu yang pasti pasti aja. enak dan kenyang buat ku.. tapi kembali lagi itu menurut aku sih, kalau yang lain ok ok saja nan ya gpp 🙏","['kalau', 'aku', 'nan', 'jujur', 'tidak', 'pngen', 'beli', 'klu', 'sudah', 'tau', 'bnyak', 'yang', 'riview', 'jelek', 'aku', 'sangat', 'menghargai', 'uang', 'karna', 'cari', 'uang', 'susah', 'jadi', 'aku', 'pastikan', 'beli', 'sesuatu', 'yang', 'pasti', 'pasti', 'aja', 'enak', 'dan', 'kenyang', 'buat', 'ku', 'tapi', 'kembali', 'lagi', 'itu', 'menurut', 'aku', 'sih', 'kalau', 'yang', 'lain', 'ok', 'ok', 'saja', 'nan', 'ya', 'gpp']","['nan', 'jujur', 'pngen', 'beli', 'klu', 'tau', 'bnyak', 'riview', 'jelek', 'menghargai', 'uang', 'karna', 'cari', 'uang', 'susah', 'pastikan', 'beli', 'aja', 'enak', 'kenyang', 'ku', 'sih', 'ok', 'ok', 'nan', 'ya', 'gpp']","['nan', 'jujur', 'pngen', 'beli', 'klu', 'tau', 'bnyak', 'riview', 'jelek', 'harga', 'uang', 'karna', 'cari', 'uang', 'susah', 'pasti', 'beli', 'aja', 'enak', 'kenyang', 'ku', 'sih', 'ok', 'ok', 'nan', 'ya', 'gpp']","['nan', 'jujur', 'pngen', 'beli', 'klu', 'tau', 'bnyak', 'riview', 'jelek', 'harga', 'uang', 'karna', 'cari', 'uang', 'susah', 'pasti', 'beli', 'aja', 'enak', 'kenyang', 'ku', 'sih', 'ok', 'ok', 'nan', 'ya', 'gp']","['nan', 'jujur', 'pngen', 'beli', 'klu', 'tau', 'bnyak', 'riview', 'jelek', 'harga', 'uang', 'karna', 'cari', 'uang', 'susah', 'pasti', 'beli', 'aja', 'enak', 'kenyang', 'ku', 'sih', 'ok', 'ok', 'nan', 'ya', 'gp']","['jujur', 'pngen', 'beli', 'bnyak', 'riview', 'jelek', 'harga', 'uang', 'karna', 'cari', 'uang', 'susah', 'pasti', 'beli', 'enak', 'kenyang']"
