nama_channel,judul_video,author,komentar,casefolding,stripping,normalisasi,tokenizing,stopword_removal,stemming,no_repeated,token_list,final_tokens
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@sugiartisunoto,akuu baru tauu kaka uda nikahh,akuu baru tauu kaka uda nikahh,akuu baru tauu kaka uda nikahh,akuu baru tauu kaka sudah nikahh,"['akuu', 'baru', 'tauu', 'kaka', 'sudah', 'nikahh']","['akuu', 'tauu', 'kaka', 'nikahh']","['akuu', 'tauu', 'kaka', 'nikahh']","['aku', 'tau', 'kaka', 'nikah']","['aku', 'tau', 'kaka', 'nikah']","['kaka', 'nikah']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@Ayaww-channel,knp aga gelap ka,knp aga gelap ka,knp aga gelap ka,kenapa aga gelap ka,"['kenapa', 'aga', 'gelap', 'ka']","['aga', 'gelap', 'ka']","['aga', 'gelap', 'ka']","['aga', 'gelap', 'ka']","['aga', 'gelap', 'ka']",['gelap']
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@Firasafira-o7p,"kaa masukan nih yaa
audionya benahin ka, entah mick nya atau suara kakanya, tp di awal itu kedengeran lama kelamaan suaranya ngecil trus di akhir kedengeran lagi💗","kaa masukan nih yaa
audionya benahin ka, entah mick nya atau suara kakanya, tp di awal itu kedengeran lama kelamaan suaranya ngecil trus di akhir kedengeran lagi💗","kaa masukan nih yaa
audionya benahin ka, entah mick nya atau suara kakanya, tp di awal itu kedengeran lama kelamaan suaranya ngecil trus di akhir kedengeran lagi💗","kaa masukan nan yaa audionya benahin ka, entah mick nya atau suara kakanya, tapi di awal itu kedengeran lama kelamaan suaranya ngecil terus di akhir kedengeran lagi💗","['kaa', 'masukan', 'nan', 'yaa', 'audionya', 'benahin', 'ka', 'entah', 'mick', 'nya', 'atau', 'suara', 'kakanya', 'tapi', 'di', 'awal', 'itu', 'kedengeran', 'lama', 'kelamaan', 'suaranya', 'ngecil', 'terus', 'di', 'akhir', 'kedengeran', 'lagi']","['kaa', 'masukan', 'nan', 'yaa', 'audionya', 'benahin', 'ka', 'mick', 'nya', 'suara', 'kakanya', 'kedengeran', 'suaranya', 'ngecil', 'kedengeran']","['kaa', 'masuk', 'nan', 'yaa', 'audio', 'benahin', 'ka', 'mick', 'nya', 'suara', 'kakanya', 'kedengeran', 'suara', 'ngecil', 'kedengeran']","['ka', 'masuk', 'nan', 'ya', 'audio', 'benahin', 'ka', 'mick', 'nya', 'suara', 'kakanya', 'kedengeran', 'suara', 'ngecil', 'kedengeran']","['ka', 'masuk', 'nan', 'ya', 'audio', 'benahin', 'ka', 'mick', 'nya', 'suara', 'kakanya', 'kedengeran', 'suara', 'ngecil', 'kedengeran']","['masuk', 'audio', 'benahin', 'mick', 'suara', 'kakanya', 'kedengeran', 'suara', 'ngecil', 'kedengeran']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@Flowerblue-h5e,Kak plis membeli mainan ❤🎉,kak plis membeli mainan ❤🎉,kak plis membeli mainan ❤🎉,kak tolong membeli mainan ❤🎉,"['kak', 'tolong', 'membeli', 'mainan']","['kak', 'tolong', 'membeli', 'mainan']","['kak', 'tolong', 'beli', 'main']","['kak', 'tolong', 'beli', 'main']","['kak', 'tolong', 'beli', 'main']","['tolong', 'beli', 'main']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@TEGARGanteng-j7s,Kak pebbi makan makanan berhadiah dong 😅😅😅,kak pebbi makan makanan berhadiah dong 😅😅😅,kak pebbi makan makanan berhadiah dong 😅😅😅,kak pebbi makan makanan berhadiah nan 😅😅😅,"['kak', 'pebbi', 'makan', 'makanan', 'berhadiah', 'nan']","['kak', 'pebbi', 'makan', 'makanan', 'berhadiah', 'nan']","['kak', 'pebbi', 'makan', 'makan', 'hadiah', 'nan']","['kak', 'pebi', 'makan', 'makan', 'hadiah', 'nan']","['kak', 'pebi', 'makan', 'makan', 'hadiah', 'nan']","['pebi', 'makan', 'makan', 'hadiah']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@britneydexfine4853,gacorr,gacorr,gacorr,gacorr,['gacorr'],['gacorr'],['gacorr'],['gacor'],['gacor'],['gacor']
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@AlzeynAbhiChandra,Ci bikin konten make up lagi ci,ci bikin konten make up lagi ci,ci bikin konten make up lagi ci,ci bikin konten make up lagi ci,"['ci', 'bikin', 'konten', 'make', 'up', 'lagi', 'ci']","['ci', 'bikin', 'konten', 'make', 'up', 'ci']","['ci', 'bikin', 'konten', 'make', 'up', 'ci']","['ci', 'bikin', 'konten', 'make', 'up', 'ci']","['ci', 'bikin', 'konten', 'make', 'up', 'ci']","['bikin', 'konten', 'make']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@24_AmeliaSusanti,"Kakkkk coba semua makanan khas balii gasiii rujak kuah pindang, batu-batu dll semuanyaa buatin videooo seru kayanyaa","kakkkk coba semua makanan khas balii gasiii rujak kuah pindang, batu-batu dll semuanyaa buatin videooo seru kayanyaa","kakkkk coba semua makanan khas balii gasiii rujak kuah pindang, batu-batu dll semuanyaa buatin videooo seru kayanyaa","kakkkk coba semua makanan khas balii gasiii rujak kuah pindang, batu-batu dll semuanyaa buatin videooo seru kayanyaa","['kakkkk', 'coba', 'semua', 'makanan', 'khas', 'balii', 'gasiii', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dll', 'semuanyaa', 'buatin', 'videooo', 'seru', 'kayanyaa']","['kakkkk', 'coba', 'makanan', 'khas', 'balii', 'gasiii', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dll', 'semuanyaa', 'buatin', 'videooo', 'seru', 'kayanyaa']","['kakkkk', 'coba', 'makan', 'khas', 'balii', 'gasiii', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dll', 'semuanyaa', 'buatin', 'videooo', 'seru', 'kayanyaa']","['kak', 'coba', 'makan', 'khas', 'bali', 'gasi', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dl', 'semuanya', 'buatin', 'video', 'seru', 'kayanya']","['kak', 'coba', 'makan', 'khas', 'bali', 'gasi', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dl', 'semuanya', 'buatin', 'video', 'seru', 'kayanya']","['coba', 'makan', 'khas', 'bali', 'gasi', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'semuanya', 'buatin', 'video', 'seru', 'kayanya']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@matchaa432,3:41 aku udah pernah coba enak banget 🎉,3:41 aku udah pernah coba enak banget 🎉,3:41 aku udah pernah coba enak banget 🎉,3:41 aku sudah pernah coba enak banget 🎉,"['3', '41', 'aku', 'sudah', 'pernah', 'coba', 'enak', 'banget']","['3', '41', 'coba', 'enak', 'banget']","['3', '41', 'coba', 'enak', 'banget']","['3', '41', 'coba', 'enak', 'banget']","['3', '41', 'coba', 'enak', 'banget']","['coba', 'enak', 'banget']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@Amle-w2mlg,Hmm nng gn gn😂😂❤❤❤,hmm nng gn gn😂😂❤❤❤,hmm nng gn gn😂😂❤❤❤,hmm nng gn gn😂😂❤❤❤,"['hmm', 'nng', 'gn', 'gn']","['hmm', 'nng', 'gn', 'gn']","['hmm', 'nng', 'gn', 'gn']","['hm', 'ng', 'gn', 'gn']","['hm', 'ng', 'gn', 'gn']",[]
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@pasukanslotonline,"Top banget, wajib share ke temen! 📢👥 CARI DI GOOGLE MAGNUM188","top banget, wajib share ke temen! 📢👥 cari di google magnum188","top banget, wajib share ke temen! 📢👥 cari di google magnum188","top banget, wajib share ke temen! 📢👥 cari di google magnum188","['top', 'banget', 'wajib', 'share', 'ke', 'temen', 'cari', 'di', 'google', 'magnum188']","['top', 'banget', 'wajib', 'share', 'temen', 'cari', 'google', 'magnum188']","['top', 'banget', 'wajib', 'share', 'temen', 'cari', 'google', 'magnum188']","['top', 'banget', 'wajib', 'share', 'temen', 'cari', 'gogle', 'magnum18']","['top', 'banget', 'wajib', 'share', 'temen', 'cari', 'gogle', 'magnum18']","['banget', 'wajib', 'share', 'temen', 'cari', 'gogle', 'magnum18']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@gitagirl8584,Prodak dari lianggui cobain yang nouget manggo nya ka enak🤤,prodak dari lianggui cobain yang nouget manggo nya ka enak🤤,prodak dari lianggui cobain yang nouget manggo nya ka enak🤤,prodak dari lianggui cobain yang nouget manggo nya ka enak🤤,"['prodak', 'dari', 'lianggui', 'cobain', 'yang', 'nouget', 'manggo', 'nya', 'ka', 'enak']","['prodak', 'lianggui', 'cobain', 'nouget', 'manggo', 'nya', 'ka', 'enak']","['prodak', 'lianggui', 'cobain', 'nouget', 'manggo', 'nya', 'ka', 'enak']","['prodak', 'liangui', 'cobain', 'nouget', 'mango', 'nya', 'ka', 'enak']","['prodak', 'liangui', 'cobain', 'nouget', 'mango', 'nya', 'ka', 'enak']","['prodak', 'liangui', 'cobain', 'nouget', 'mango', 'enak']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@deapurnama2180,Ka peb cobain dodol rumput laut dong banyak yang review katanya enak,ka peb cobain dodol rumput laut dong banyak yang review katanya enak,ka peb cobain dodol rumput laut dong banyak yang review katanya enak,ka peb cobain dodol rumput laut nan banyak yang review katanya enak,"['ka', 'peb', 'cobain', 'dodol', 'rumput', 'laut', 'nan', 'banyak', 'yang', 'review', 'katanya', 'enak']","['ka', 'peb', 'cobain', 'dodol', 'rumput', 'laut', 'nan', 'review', 'enak']","['ka', 'peb', 'cobain', 'dodol', 'rumput', 'laut', 'nan', 'review', 'enak']","['ka', 'peb', 'cobain', 'dodol', 'rumput', 'laut', 'nan', 'review', 'enak']","['ka', 'peb', 'cobain', 'dodol', 'rumput', 'laut', 'nan', 'review', 'enak']","['cobain', 'dodol', 'rumput', 'laut', 'review', 'enak']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@HpDinda-pi8ic,KK konten sama jio dong,kk konten sama jio dong,kk konten sama jio dong,kk konten sama jio nan,"['kk', 'konten', 'sama', 'jio', 'nan']","['kk', 'konten', 'jio', 'nan']","['kk', 'konten', 'jio', 'nan']","['k', 'konten', 'jio', 'nan']","['k', 'konten', 'jio', 'nan']",['konten']
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@ssss-su6jc,p,p,p,p,['p'],['p'],['p'],['p'],['p'],[]
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@rubyyyy_mm,ya,ya,ya,ya,['ya'],['ya'],['ya'],['ya'],['ya'],[]
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@ChelsiaChelsiashafa,Knp vahrona GK sharoni,knp vahrona gk sharoni,knp vahrona gk sharoni,kenapa vahrona gk sharoni,"['kenapa', 'vahrona', 'gk', 'sharoni']","['vahrona', 'gk', 'sharoni']","['vahrona', 'gk', 'sharoni']","['vahrona', 'gk', 'sharoni']","['vahrona', 'gk', 'sharoni']","['vahrona', 'sharoni']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@niluheliora5240,Aku juga punya coklat valrhona jivara.. pantes kaya ga asing sama packing nya...,aku juga punya coklat valrhona jivara.. pantes kaya ga asing sama packing nya...,aku juga punya coklat valrhona jivara.. pantes kaya ga asing sama packing nya...,aku juga punya coklat valrhona jivara.. pantes seperti tidak asing sama packing nya...,"['aku', 'juga', 'punya', 'coklat', 'valrhona', 'jivara', 'pantes', 'seperti', 'tidak', 'asing', 'sama', 'packing', 'nya']","['coklat', 'valrhona', 'jivara', 'pantes', 'asing', 'packing', 'nya']","['coklat', 'valrhona', 'jivara', 'pantes', 'asing', 'packing', 'nya']","['coklat', 'valrhona', 'jivara', 'pantes', 'asing', 'packing', 'nya']","['coklat', 'valrhona', 'jivara', 'pantes', 'asing', 'packing', 'nya']","['coklat', 'valrhona', 'jivara', 'pantes', 'asing', 'packing']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@stephanieangleikapanjaitan6202,"akhirrnya upload, kirain udh lupa punya channel youtube 🤬🤬🤬","akhirrnya upload, kirain udh lupa punya channel youtube 🤬🤬🤬","akhirrnya upload, kirain udh lupa punya channel youtube 🤬🤬🤬","akhirrnya upload, kirain sudah lupa punya channel youtube 🤬🤬🤬","['akhirrnya', 'upload', 'kirain', 'sudah', 'lupa', 'punya', 'channel', 'youtube']","['akhirrnya', 'upload', 'kirain', 'lupa', 'channel', 'youtube']","['akhirrnya', 'upload', 'kirain', 'lupa', 'channel', 'youtube']","['akhirnya', 'upload', 'kirain', 'lupa', 'chanel', 'youtube']","['akhirnya', 'upload', 'kirain', 'lupa', 'chanel', 'youtube']","['akhirnya', 'upload', 'kirain', 'lupa', 'chanel', 'youtube']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@4urelit444,sumpah salfok bgt makin hari make up kaa pebby makinnn cantikkk 🥺❤️,sumpah salfok bgt makin hari make up kaa pebby makinnn cantikkk 🥺❤️,sumpah salfok bgt makin hari make up kaa pebby makinnn cantikkk 🥺❤️,sumpah salfok banget makin hari make up kaa pebby makinnn cantikkk 🥺❤️,"['sumpah', 'salfok', 'banget', 'makin', 'hari', 'make', 'up', 'kaa', 'pebby', 'makinnn', 'cantikkk']","['sumpah', 'salfok', 'banget', 'make', 'up', 'kaa', 'pebby', 'makinnn', 'cantikkk']","['sumpah', 'salfok', 'banget', 'make', 'up', 'kaa', 'pebby', 'makinnn', 'cantikkk']","['sumpah', 'salfok', 'banget', 'make', 'up', 'ka', 'peby', 'makin', 'cantik']","['sumpah', 'salfok', 'banget', 'make', 'up', 'ka', 'peby', 'makin', 'cantik']","['sumpah', 'salfok', 'banget', 'make', 'peby', 'makin', 'cantik']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@ElsaAmelia-v3l,Loh kok doyan makan ulet jahahahha ngakak😭😭🤣🤣,loh kok doyan makan ulet jahahahha ngakak😭😭🤣🤣,loh kok doyan makan ulet jahahahha ngakak😭😭🤣🤣,nan nan doyan makan ulet jahahahha ngakak😭😭🤣🤣,"['nan', 'nan', 'doyan', 'makan', 'ulet', 'jahahahha', 'ngakak']","['nan', 'nan', 'doyan', 'makan', 'ulet', 'jahahahha', 'ngakak']","['nan', 'nan', 'doyan', 'makan', 'ulet', 'jahahahha', 'ngakak']","['nan', 'nan', 'doyan', 'makan', 'ulet', 'jahahaha', 'ngakak']","['nan', 'nan', 'doyan', 'makan', 'ulet', 'jahahaha', 'ngakak']","['doyan', 'makan', 'ulet', 'jahahaha', 'ngakak']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@labppi7226,cobain punya amrazing kak enak,cobain punya amrazing kak enak,cobain punya amrazing kak enak,cobain punya amrazing kak enak,"['cobain', 'punya', 'amrazing', 'kak', 'enak']","['cobain', 'amrazing', 'kak', 'enak']","['cobain', 'amrazing', 'kak', 'enak']","['cobain', 'amrazing', 'kak', 'enak']","['cobain', 'amrazing', 'kak', 'enak']","['cobain', 'amrazing', 'enak']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@TanLinhLe-n7u,"02:47 Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi bermakna! Ceritanya inspiratif, hadiahnya bikin dompet happy. Harus coba, guys! 🙏","02:47 alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi bermakna! ceritanya inspiratif, hadiahnya bikin dompet happy. harus coba, guys! 🙏","02:47 alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi bermakna! ceritanya inspiratif, hadiahnya bikin dompet happy. harus coba, guys! 🙏","02:47 alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi bermakna! ceritanya inspiratif, hadiahnya bikin dompet happy. harus coba, guys! 🙏","['02', '47', 'alhamdulillah', 'bikin', 'hiburan', 'jadi', 'bermakna', 'ceritanya', 'inspiratif', 'hadiahnya', 'bikin', 'dompet', 'happy', 'harus', 'coba', 'guys']","['02', '47', 'alhamdulillah', 'bikin', 'hiburan', 'bermakna', 'ceritanya', 'inspiratif', 'hadiahnya', 'bikin', 'dompet', 'happy', 'coba', 'guys']","['02', '47', 'alhamdulillah', 'bikin', 'hibur', 'makna', 'cerita', 'inspiratif', 'hadiah', 'bikin', 'dompet', 'happy', 'coba', 'guys']","['02', '47', 'alhamdulilah', 'bikin', 'hibur', 'makna', 'cerita', 'inspiratif', 'hadiah', 'bikin', 'dompet', 'hapy', 'coba', 'guys']","['02', '47', 'alhamdulilah', 'bikin', 'hibur', 'makna', 'cerita', 'inspiratif', 'hadiah', 'bikin', 'dompet', 'hapy', 'coba', 'guys']","['alhamdulilah', 'bikin', 'hibur', 'makna', 'cerita', 'inspiratif', 'hadiah', 'bikin', 'dompet', 'hapy', 'coba', 'guys']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@AnhQuanDo-v5v,"❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 emang gak ada duanya! Baru main sebentar, langsung dapet kejutan gede. Ceritanya top! 🌟","❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 emang gak ada duanya! baru main sebentar, langsung dapet kejutan gede. ceritanya top! 🌟","❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 emang gak ada duanya! baru main sebentar, langsung dapet kejutan gede. ceritanya top! 🌟","❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 emang tidak ada duanya! baru main sebentar, langsung dapet kejutan gede. ceritanya top! 🌟","['emang', 'tidak', 'ada', 'duanya', 'baru', 'main', 'sebentar', 'langsung', 'dapet', 'kejutan', 'gede', 'ceritanya', 'top']","['emang', 'duanya', 'main', 'sebentar', 'langsung', 'dapet', 'kejutan', 'gede', 'ceritanya', 'top']","['emang', 'dua', 'main', 'sebentar', 'langsung', 'dapet', 'kejut', 'gede', 'cerita', 'top']","['emang', 'dua', 'main', 'sebentar', 'langsung', 'dapet', 'kejut', 'gede', 'cerita', 'top']","['emang', 'dua', 'main', 'sebentar', 'langsung', 'dapet', 'kejut', 'gede', 'cerita', 'top']","['emang', 'main', 'sebentar', 'langsung', 'dapet', 'kejut', 'gede', 'cerita']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@MinhBinhNgo-k6n,"Keren abis ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Gameplay-nya super smooth, ceritanya bikin penasaran, dan hadiahnya bikin dompet ketawa. Pengalaman yang nggak ada duanya! 😍","keren abis ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! gameplay-nya super smooth, ceritanya bikin penasaran, dan hadiahnya bikin dompet ketawa. pengalaman yang nggak ada duanya! 😍","keren abis ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! gameplay-nya super smooth, ceritanya bikin penasaran, dan hadiahnya bikin dompet ketawa. pengalaman yang nggak ada duanya! 😍","keren banget ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! gameplay-nya super smooth, ceritanya bikin penasaran, dan hadiahnya bikin dompet ketawa. pengalaman yang tidak ada duanya! 😍","['keren', 'banget', 'gameplay', 'nya', 'super', 'smooth', 'ceritanya', 'bikin', 'penasaran', 'dan', 'hadiahnya', 'bikin', 'dompet', 'ketawa', 'pengalaman', 'yang', 'tidak', 'ada', 'duanya']","['keren', 'banget', 'gameplay', 'nya', 'super', 'smooth', 'ceritanya', 'bikin', 'penasaran', 'hadiahnya', 'bikin', 'dompet', 'ketawa', 'pengalaman', 'duanya']","['keren', 'banget', 'gameplay', 'nya', 'super', 'smooth', 'cerita', 'bikin', 'penasaran', 'hadiah', 'bikin', 'dompet', 'ketawa', 'alam', 'dua']","['keren', 'banget', 'gameplay', 'nya', 'super', 'smoth', 'cerita', 'bikin', 'penasaran', 'hadiah', 'bikin', 'dompet', 'ketawa', 'alam', 'dua']","['keren', 'banget', 'gameplay', 'nya', 'super', 'smoth', 'cerita', 'bikin', 'penasaran', 'hadiah', 'bikin', 'dompet', 'ketawa', 'alam', 'dua']","['keren', 'banget', 'gameplay', 'super', 'smoth', 'cerita', 'bikin', 'penasaran', 'hadiah', 'bikin', 'dompet', 'ketawa', 'alam']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@TanLinhDo-d4d,"Gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih! Ceritanya dalam, visualnya ciamik, kemenangannya bikin kaget! 🔥","gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih! ceritanya dalam, visualnya ciamik, kemenangannya bikin kaget! 🔥","gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih! ceritanya dalam, visualnya ciamik, kemenangannya bikin kaget! 🔥","gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih! ceritanya dalam, visualnya ciamik, kemenangannya bikin kaget! 🔥","['gila', 'bikin', 'nagih', 'ceritanya', 'dalam', 'visualnya', 'ciamik', 'kemenangannya', 'bikin', 'kaget']","['gila', 'bikin', 'nagih', 'ceritanya', 'visualnya', 'ciamik', 'kemenangannya', 'bikin', 'kaget']","['gila', 'bikin', 'nagih', 'cerita', 'visual', 'ciamik', 'menang', 'bikin', 'kaget']","['gila', 'bikin', 'nagih', 'cerita', 'visual', 'ciamik', 'menang', 'bikin', 'kaget']","['gila', 'bikin', 'nagih', 'cerita', 'visual', 'ciamik', 'menang', 'bikin', 'kaget']","['gila', 'bikin', 'nagih', 'cerita', 'visual', 'ciamik', 'menang', 'bikin', 'kaget']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@ThanhHuyNgo-l8i,"Gak nyangka ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 se-epic ini! Ceritanya bikin mikir, visualnya kece, dan hadiahnya bikin kaget! 💪","gak nyangka ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 se-epic ini! ceritanya bikin mikir, visualnya kece, dan hadiahnya bikin kaget! 💪","gak nyangka ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 se-epic ini! ceritanya bikin mikir, visualnya kece, dan hadiahnya bikin kaget! 💪","tidak nyangka ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 se-epic ini! ceritanya bikin mikir, visualnya kece, dan hadiahnya bikin kaget! 💪","['tidak', 'nyangka', 'se', 'epic', 'ini', 'ceritanya', 'bikin', 'mikir', 'visualnya', 'kece', 'dan', 'hadiahnya', 'bikin', 'kaget']","['nyangka', 'epic', 'ceritanya', 'bikin', 'mikir', 'visualnya', 'kece', 'hadiahnya', 'bikin', 'kaget']","['nyangka', 'epic', 'cerita', 'bikin', 'mikir', 'visual', 'kece', 'hadiah', 'bikin', 'kaget']","['nyangka', 'epic', 'cerita', 'bikin', 'mikir', 'visual', 'kece', 'hadiah', 'bikin', 'kaget']","['nyangka', 'epic', 'cerita', 'bikin', 'mikir', 'visual', 'kece', 'hadiah', 'bikin', 'kaget']","['nyangka', 'epic', 'cerita', 'bikin', 'mikir', 'visual', 'kece', 'hadiah', 'bikin', 'kaget']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@MinhKhoaBui-v8l,"Gak sabar share ke temen soal ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya bikin penasaran, kemenangannya bikin happy! ❤️","gak sabar share ke temen soal ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! ceritanya bikin penasaran, kemenangannya bikin happy! ❤️","gak sabar share ke temen soal ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! ceritanya bikin penasaran, kemenangannya bikin happy! ❤️","tidak sabar share ke temen soal ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! ceritanya bikin penasaran, kemenangannya bikin happy! ❤️","['tidak', 'sabar', 'share', 'ke', 'temen', 'soal', 'ceritanya', 'bikin', 'penasaran', 'kemenangannya', 'bikin', 'happy']","['sabar', 'share', 'temen', 'ceritanya', 'bikin', 'penasaran', 'kemenangannya', 'bikin', 'happy']","['sabar', 'share', 'temen', 'cerita', 'bikin', 'penasaran', 'menang', 'bikin', 'happy']","['sabar', 'share', 'temen', 'cerita', 'bikin', 'penasaran', 'menang', 'bikin', 'hapy']","['sabar', 'share', 'temen', 'cerita', 'bikin', 'penasaran', 'menang', 'bikin', 'hapy']","['sabar', 'share', 'temen', 'cerita', 'bikin', 'penasaran', 'menang', 'bikin', 'hapy']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@NgocKhoaLe-f3c,"Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! Ceritanya relate, hadiahnya bikin dompet senyum! 🙏","alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! ceritanya relate, hadiahnya bikin dompet senyum! 🙏","alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! ceritanya relate, hadiahnya bikin dompet senyum! 🙏","alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! ceritanya relate, hadiahnya bikin dompet senyum! 🙏","['alhamdulillah', 'bikin', 'hiburan', 'jadi', 'lebih', 'bermakna', 'ceritanya', 'relate', 'hadiahnya', 'bikin', 'dompet', 'senyum']","['alhamdulillah', 'bikin', 'hiburan', 'bermakna', 'ceritanya', 'relate', 'hadiahnya', 'bikin', 'dompet', 'senyum']","['alhamdulillah', 'bikin', 'hibur', 'makna', 'cerita', 'relate', 'hadiah', 'bikin', 'dompet', 'senyum']","['alhamdulilah', 'bikin', 'hibur', 'makna', 'cerita', 'relate', 'hadiah', 'bikin', 'dompet', 'senyum']","['alhamdulilah', 'bikin', 'hibur', 'makna', 'cerita', 'relate', 'hadiah', 'bikin', 'dompet', 'senyum']","['alhamdulilah', 'bikin', 'hibur', 'makna', 'cerita', 'relate', 'hadiah', 'bikin', 'dompet', 'senyum']"
